,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
365,2016,2016/P06,2016/W25,East Suburban,Off-Peak,46207,980969
366,2016,2016/P06,2016/W25,eXpress,Off-Peak,25982,890647
367,2016,2016/P06,2016/W25,Inter7City,Off-Peak,58506,4092475
368,2016,2016/P06,2016/W25,Scenic,Off-Peak,21311,1031593
369,2016,2016/P06,2016/W25,West Suburban,Off-Peak,436957,5056432
370,2016,2016/P06,2016/W25,East Suburban,Peak,52747,1074067
371,2016,2016/P06,2016/W25,eXpress,Peak,18512,551638
372,2016,2016/P06,2016/W25,Inter7City,Peak,49104,2783925
373,2016,2016/P06,2016/W25,Scenic,Peak,16943,661201
374,2016,2016/P06,2016/W25,West Suburban,Peak,247592,3421126
375,2016,2016/P07,2016/W26,East Suburban,Commuter,60940,1055577
376,2016,2016/P07,2016/W26,eXpress,Commuter,22714,588989
377,2016,2016/P07,2016/W26,Inter7City,Commuter,21791,588163
378,2016,2016/P07,2016/W26,Scenic,Commuter,8325,157353
379,2016,2016/P07,2016/W26,West Suburban,Commuter,257020,2990142
380,2016,2016/P07,2016/W26,East Suburban,Off-Peak,73415,1505342
381,2016,2016/P07,2016/W26,eXpress,Off-Peak,31769,1043417
382,2016,2016/P07,2016/W26,Inter7City,Off-Peak,75018,5014700
383,2016,2016/P07,2016/W26,Scenic,Off-Peak,32249,1388872
384,2016,2016/P07,2016/W26,West Suburban,Off-Peak,484962,5669572
385,2016,2016/P07,2016/W26,East Suburban,Peak,64652,1262965
386,2016,2016/P07,2016/W26,eXpress,Peak,19494,579431
387,2016,2016/P07,2016/W26,Inter7City,Peak,57097,3124565
388,2016,2016/P07,2016/W26,Scenic,Peak,22450,822386
389,2016,2016/P07,2016/W26,West Suburban,Peak,251258,3518436
390,2016,2016/P07,2016/W27,East Suburban,Commuter,55521,966280
391,2016,2016/P07,2016/W27,eXpress,Commuter,20223,504716
