,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
130,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,16/09/2022,18/09/2022,GBP,7600,CENTI,-32302,BOOK_WITH_SKYSCANNER,UK,2778.433951,,19.56643628
131,05/02/2022,BHX,EDI,BHX-EDI,2,0,ECONOMY,return,10/07/2022,10/10/2022,GBP,13800,CENTI,-32302,BOOK_WITH_SKYSCANNER,UK,2778.433951,,19.56643628
132,05/02/2022,BHX,EDI,BHX-EDI,2,0,ECONOMY,return,10/07/2022,10/10/2022,GBP,13800,CENTI,-32302,REDIRECT,UK,2778.433951,,19.56643628
133,05/02/2022,BHX,EDI,BHX-EDI,2,0,ECONOMY,return,10/07/2022,10/10/2022,GBP,13800,CENTI,-32302,DIRECT_BOOKING,UK,2778.433951,,19.56643628
134,05/02/2022,BHX,EDI,BHX-EDI,5,0,ECONOMY,return,23/09/2022,25/09/2022,GBP,40700,CENTI,-32302,REDIRECT,UK,2778.433951,,19.56643628
135,05/02/2022,BHX,EDI,BHX-EDI,5,0,ECONOMY,return,23/09/2022,25/09/2022,GBP,40700,CENTI,-32302,BOOK_WITH_SKYSCANNER,UK,2778.433951,,19.56643628
136,05/02/2022,BHX,EDI,BHX-EDI,5,0,ECONOMY,return,23/09/2022,25/09/2022,GBP,40700,CENTI,-32302,DIRECT_BOOKING,UK,2778.433951,,19.56643628
137,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,29/08/2022,09/03/2022,GBP,7200,CENTI,-32302,REDIRECT,UK,2778.433951,,19.56643628
138,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,29/08/2022,09/03/2022,GBP,7200,CENTI,-32302,DIRECT_BOOKING,UK,2778.433951,,19.56643628
139,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,29/08/2022,09/03/2022,GBP,7200,CENTI,-32302,BOOK_WITH_SKYSCANNER,UK,2778.433951,,19.56643628
140,05/02/2022,BHX,EDI,BHX-EDI,1,0,ECONOMY,return,10/07/2022,10/09/2022,GBP,6800,CENTI,-32302,REDIRECT,UK,2778.433951,,19.56643628
